Threshold,TSS
0.05,0.226
0.1,0.333
0.15000000000000002,0.405
0.2,0.452
0.25,0.494
0.3,0.537
0.35000000000000003,0.565
0.4,0.583
0.45,0.605
0.5,0.641
0.55,0.655
0.6000000000000001,0.661
0.6500000000000001,0.634
0.7000000000000001,0.616
0.7500000000000001,0.559
0.8,0.512
0.8500000000000001,0.418
0.9000000000000001,0.373
0.9500000000000001,0.198
